ST,CB,PB,GO,CA,RETURN,VOLAT
0.0,0.8,0.2,0.0,0.0,3.3858200398975997,60.39918006811599
0.0,0.8,0.0,0.2,0.0,8.110253696646003,56.571688765301964
0.0,0.8,0.0,0.0,0.2,1.7945188629540254,61.44502557539815
0.0,0.6,0.4,0.0,0.0,2.6448507961492655,20.625836467943596
0.0,0.6,0.2,0.2,0.0,7.369432913976374,54.23319309903293
0.0,0.6,0.2,0.0,0.2,1.055327234344646,58.015805152414124
0.0,0.6,0.0,0.4,0.0,12.092122170378074,15.66524155569797
0.0,0.6,0.0,0.2,0.2,5.7688948684915395,55.08024201603357
0.0,0.6,0.0,0.0,0.4,-0.44936173231909854,22.255276846500074
0.0,0.4,0.6,0.0,0.0,1.9038815524009312,19.57023449266546
0.0,0.4,0.4,0.2,0.0,6.628612131306746,24.60046550983689
0.0,0.4,0.4,0.0,0.2,0.3161356057352666,29.66407886406725
0.0,0.4,0.2,0.4,0.0,11.351449789307523,31.517389256781637
0.0,0.4,0.2,0.2,0.2,5.029850989558062,34.125436615527114
0.0,0.4,0.2,0.0,0.4,-1.1867842545177798,28.134774502116265
0.0,0.4,0.0,0.6,0.0,16.072395663748125,26.06211909759475
0.0,0.4,0.0,0.4,0.2,9.741682394410518,32.57579940756616
0.0,0.4,0.0,0.2,0.4,3.5159517345402,24.178765074662763
0.0,0.4,0.0,0.0,0.6,-2.605485616720892,18.14307523094299
0.0,0.2,0.8,0.0,0.0,1.1629123086526114,59.684659656356345
0.0,0.2,0.6,0.2,0.0,5.887791348637104,53.38536786599967
0.0,0.2,0.6,0.0,0.2,-0.42305602287412714,57.1739737077271
0.0,0.2,0.4,0.4,0.0,10.610777408237,31.096125789576796
0.0,0.2,0.4,0.2,0.2,4.290807110624598,33.32208677573588
0.0,0.2,0.4,0.0,0.4,-1.9242067767164468,27.52737977775684
0.0,0.2,0.2,0.6,0.0,15.331871624832823,62.818122716996726
0.0,0.2,0.2,0.4,0.2,9.002786206100344,42.253296704052076
0.0,0.2,0.2,0.2,0.4,2.7786762557158355,30.95516957586668
0.0,0.2,0.2,0.0,0.6,-3.34114748029115,54.71603594136659
0.0,0.2,0.0,0.8,0.0,20.051075134894166,63.97322340390639
0.0,0.2,0.0,0.6,0.2,13.712882392846613,63.63914542903749
0.0,0.2,0.0,0.4,0.4,7.479684135423907,31.020134671139893
0.0,0.2,0.0,0.2,0.6,1.3507911209325505,51.768428602808925
0.0,0.2,0.0,0.0,0.8,-4.6744798727426105,58.698686065621494
0.0,0.0,1.0,0.0,0.0,0.42194306490429173,1.6203686424536925
0.0,0.0,0.8,0.2,0.0,5.146970565967475,56.17858357528149
0.0,0.0,0.8,0.0,0.2,-1.1622476514835067,61.082660015334646
0.0,0.0,0.6,0.4,0.0,9.870105027166451,15.124085884309658
0.0,0.0,0.6,0.2,0.2,3.551763231691136,54.508913057941896
0.0,0.0,0.6,0.0,0.4,-2.661629298915128,21.705089129167547
0.0,0.0,0.4,0.6,0.0,14.591347585917505,26.543682429613302
0.0,0.0,0.4,0.4,0.2,8.26389001779017,32.498021430750114
0.0,0.0,0.4,0.2,0.4,2.0414007768914715,23.920154035132818
0.0,0.0,0.4,0.0,0.6,-4.076809343861408,18.638445323504925
0.0,0.0,0.2,0.8,0.0,19.310699378725957,64.29370316561666
0.0,0.0,0.2,0.6,0.2,12.974133836142492,63.905462076066534
0.0,0.0,0.2,0.4,0.4,6.742555641344125,31.362002679064823
0.0,0.0,0.2,0.2,0.6,0.6152755994875304,52.04420458423415
0.0,0.0,0.2,0.0,0.8,-5.408389465101506,59.0503836688606
0.0,0.0,0.0,1.0,0.0,24.028161541186908,7.910882394973949
0.0,0.0,0.0,0.8,0.2,17.68249581517468,65.26925316731065
0.0,0.0,0.0,0.6,0.4,11.441836415757074,28.090593843576038
0.0,0.0,0.0,0.4,0.6,5.305494160599656,13.824448491527718
0.0,0.0,0.0,0.2,0.8,-0.7272141147668458,55.12981724897785
0.0,0.0,0.0,0.0,1.0,-6.6569656224875855,3.3127317396783553
