Date,Price,Open,High,Low,Vol.,Change %
06/08/2020,81.07,81.53,81.53,80.85,1.20K,+0.41%
06/05/2020,80.74,80.89,81.27,80.78,1.33K,-0.63%
06/04/2020,81.25,81.88,81.92,81.03,1.00K,+0.25%
06/03/2020,81.04,81.45,81.45,80.74,1.81K,-0.18%
06/02/2020,81.19,81.77,81.77,80.68,0.85K,-0.04%
06/01/2020,81.22,81.79,81.82,81.29,0.49K,-0.75%
05/29/2020,81.83,81.77,82.13,81.56,4.90K,-0.05%
05/28/2020,81.88,82.54,82.54,81.66,0.63K,-0.35%
05/27/2020,82.17,81.62,82.19,81.62,0.57K,+1.08%
05/26/2020,81.29,80.92,81.82,80.92,1.08K,-0.70%
05/22/2020,81.87,82.2,82.2,81.73,1.38K,+0.11%
05/21/2020,81.78,81.87,81.87,81.51,3.42K,+0.82%
05/20/2020,81.11,81.21,81.21,80.88,2.29K,+0.07%
05/19/2020,81.06,81.46,81.46,80.65,3.88K,+0.06%
05/18/2020,81.01,81.24,81.87,81.24,3.12K,-0.26%
05/15/2020,81.22,80.89,81.44,80.48,2.92K,+1.08%
05/14/2020,80.36,80.52,80.75,80.49,0.48K,+0.01%
05/13/2020,80.35,80.37,80.4,80.03,1.27K,+0.65%
05/12/2020,79.83,79.42,80.23,78.98,10.59K,+0.71%
05/11/2020,79.27,79.22,79.65,78.95,0.76K,-0.54%
05/07/2020,79.7,79.6,80.04,79.6,0.17K,+0.18%
05/06/2020,79.56,80.0,80.0,79.6,0.39K,-0.09%
05/05/2020,79.63,79.84,79.93,79.34,0.90K,-0.39%
05/04/2020,79.93,79.17,80.46,79.17,1.13K,+0.70%
05/01/2020,79.38,79.69,80.2,78.85,1.37K,+0.09%
04/30/2020,79.31,80.83,81.13,79.25,0.39K,-0.79%
04/29/2020,79.94,80.08,80.31,79.65,2.77K,+0.46%
04/28/2020,79.57,79.18,79.94,79.18,0.22K,-0.43%
04/27/2020,79.92,81.15,81.15,79.4,1.08K,-0.42%
04/24/2020,80.25,81.58,81.58,79.64,1.02K,+0.09%
04/23/2020,80.18,80.22,80.45,79.5,0.85K,+0.13%
04/22/2020,80.07,80.19,80.61,80.19,0.34K,-0.22%
04/21/2020,80.25,80.33,80.76,79.73,0.83K,+0.77%
04/20/2020,79.64,79.9,79.9,79.35,0.72K,-0.23%
04/17/2020,79.82,80.02,80.58,80.02,0.54K,-0.21%
04/16/2020,79.99,80.11,80.11,79.17,0.58K,+0.93%
04/15/2020,79.25,79.64,80.25,78.93,0.55K,-0.04%
04/14/2020,79.29,79.71,80.38,78.53,1.33K,-0.83%
04/09/2020,79.95,78.64,81.05,78.52,2.79K,+2.94%
04/08/2020,77.67,78.18,78.18,76.98,1.03K,-0.06%
04/07/2020,77.71,76.93,78.0,76.62,5.73K,+0.33%
04/06/2020,77.46,77.43,77.7,77.43,0.52K,+0.50%
04/03/2020,77.07,76.63,77.79,76.57,1.69K,+0.50%
04/02/2020,76.69,77.49,77.49,76.06,0.48K,-0.16%
04/01/2020,76.82,77.66,77.66,75.66,1.32K,-0.61%
03/31/2020,77.29,77.96,78.96,75.67,8.38K,+0.21%
03/30/2020,77.13,77.26,78.16,76.16,0.84K,+1.61%
03/27/2020,75.91,76.64,78.41,75.98,0.14K,-2.72%
03/26/2020,78.04,79.45,79.97,77.19,5.55K,-1.52%
03/25/2020,79.24,78.7,81.1,75.6,1.45K,+1.09%
03/24/2020,78.39,78.03,79.88,77.33,1.63K,-0.46%
03/23/2020,78.75,73.76,79.68,73.69,24.96K,+4.92%
03/20/2020,75.05,75.08,75.55,72.45,4.19K,-0.16%
03/19/2020,75.17,77.64,78.35,73.49,8.38K,+0.21%
03/18/2020,75.01,74.49,77.2,73.76,2.21K,-1.92%
03/17/2020,76.48,76.9,78.82,75.45,6.59K,+0.41%
03/16/2020,76.17,77.68,79.23,74.99,3.57K,-1.65%
03/13/2020,77.45,75.32,78.26,74.82,0.57K,+1.65%
03/12/2020,76.19,76.18,77.64,74.04,3.16K,-3.40%
03/11/2020,78.87,79.71,79.71,77.91,5.03K,-1.17%
