Date,Price,Open,High,Low,Vol.,Change %
06/01/2020,263.52,263.78,264.36,263.2,6.14K,-0.08%
05/29/2020,263.74,264.64,264.64,263.55,19.34K,-0.97%
05/28/2020,266.33,264.93,266.33,264.17,44.49K,+0.19%
05/27/2020,265.82,266.0,266.07,264.24,25.17K,+0.02%
05/26/2020,265.76,266.34,266.34,265.5,16.02K,-0.59%
05/25/2020,267.34,267.0,267.6,266.4,1.16K,+0.12%
05/22/2020,267.02,267.23,267.54,266.7,3.19K,+0.25%
05/21/2020,266.35,265.42,266.35,264.82,1.99K,+0.26%
05/20/2020,265.65,265.9,266.2,265.25,14.38K,-0.11%
05/19/2020,265.93,266.1,266.23,264.85,24.20K,-0.42%
05/18/2020,267.05,268.3,268.85,266.83,14.29K,-0.48%
05/15/2020,268.33,269.01,269.48,268.32,4.13K,-0.38%
05/14/2020,269.36,268.24,269.53,268.24,2.94K,+0.40%
05/13/2020,268.3,267.95,268.3,267.56,4.46K,+0.45%
05/12/2020,267.1,267.51,267.68,266.78,7.63K,-0.21%
05/11/2020,267.65,267.96,268.12,267.18,5.84K,-0.29%
05/08/2020,268.44,268.7,269.37,267.78,7.95K,-0.10%
05/07/2020,268.7,268.63,269.14,267.59,9.16K,+0.02%
05/06/2020,268.65,269.03,269.54,267.8,4.31K,-0.07%
05/05/2020,268.85,268.1,268.9,267.37,2.54K,+0.37%
05/04/2020,267.85,267.84,267.94,267.0,2.09K,-0.09%
04/30/2020,268.09,268.65,269.64,267.23,1.15K,-0.45%
04/29/2020,269.31,268.86,269.5,268.6,0.66K,+0.20%
04/28/2020,268.76,268.54,269.22,266.59,3.26K,+0.03%
04/27/2020,268.68,268.89,268.89,268.07,5.56K,-0.17%
04/24/2020,269.13,268.88,269.96,268.45,2.81K,+0.36%
04/23/2020,268.16,267.36,269.43,266.93,2.63K,+0.62%
04/22/2020,266.5,267.38,267.38,265.94,4.89K,+0.02%
04/21/2020,266.46,267.78,268.43,266.46,16.72K,-0.01%
04/20/2020,266.49,267.0,267.15,266.05,2.74K,-0.39%
04/17/2020,267.52,268.0,268.34,266.67,3.92K,+0.19%
04/16/2020,267.01,267.05,268.33,266.99,3.15K,+0.60%
04/15/2020,265.41,266.07,268.65,264.42,5.47K,+0.53%
04/14/2020,264.0,264.0,266.44,263.63,2.52K,+0.47%
04/09/2020,262.76,265.44,266.44,262.76,7.77K,-1.07%
04/08/2020,265.61,264.81,265.82,264.36,17.04K,+0.11%
04/07/2020,265.33,264.28,266.08,263.91,2.49K,-0.18%
04/06/2020,265.8,266.01,268.0,265.8,3.66K,+0.31%
04/03/2020,264.97,265.51,270.74,264.97,1.08K,-0.20%
04/02/2020,265.51,264.5,268.56,264.5,0.55K,-0.70%
04/01/2020,267.37,263.63,267.37,263.47,1.99K,+1.66%
03/31/2020,263.01,265.5,266.74,261.96,0.64K,-0.84%
03/30/2020,265.23,265.07,266.5,261.2,1.79K,+0.06%
03/27/2020,265.07,264.63,266.75,260.42,22.62K,+1.94%
03/26/2020,260.03,263.3,265.29,260.03,3.37K,-1.29%
03/25/2020,263.43,260.05,265.68,260.05,14.32K,+0.70%
03/24/2020,261.59,265.27,265.54,261.56,1.14K,-1.54%
03/23/2020,265.67,262.21,266.19,261.0,2.73K,+2.21%
03/20/2020,259.93,262.0,264.34,257.69,2.94K,+0.67%
03/19/2020,258.2,261.0,261.89,255.0,12.80K,-1.11%
03/18/2020,261.09,255.1,261.09,253.48,6.31K,+2.32%
03/17/2020,255.16,259.66,263.05,255.16,3.05K,-3.14%
03/16/2020,263.43,257.64,263.43,255.34,4.77K,+2.53%
03/13/2020,256.92,265.0,265.0,253.51,4.59K,-4.01%
03/12/2020,267.66,267.5,267.66,254.99,13.27K,+0.55%
03/11/2020,266.2,264.76,266.2,263.3,10.57K,-0.07%
03/10/2020,266.39,269.0,269.0,262.54,9.08K,-0.77%
03/09/2020,268.45,268.0,269.38,265.87,15.44K,+1.10%
03/06/2020,265.54,264.73,265.54,264.08,12.67K,+0.58%
03/05/2020,264.01,264.15,264.59,263.39,3.45K,-0.12%
03/04/2020,264.32,263.65,264.75,263.3,3.59K,+0.15%
03/03/2020,263.93,262.25,263.93,261.96,10.86K,+0.37%
03/02/2020,262.95,263.57,264.02,262.51,6.57K,-0.68%
02/28/2020,264.76,263.14,265.27,262.93,6.48K,+0.54%
02/27/2020,263.35,263.14,263.35,262.72,29.60K,-0.11%
02/26/2020,263.64,263.9,263.97,263.11,130.19K,-0.43%
02/25/2020,264.79,263.85,264.94,263.81,55.47K,+0.16%
02/24/2020,264.38,263.47,264.52,263.47,24.12K,+0.63%
02/21/2020,262.73,263.66,263.66,262.65,2.24K,-0.14%
02/20/2020,263.1,262.67,263.1,262.0,1.96K,+0.22%
02/19/2020,262.52,263.37,263.52,262.65,2.77K,-0.32%
02/18/2020,263.37,262.79,263.42,262.72,1.41K,+0.30%
02/17/2020,262.58,262.49,262.58,262.01,0.79K,+0.06%
02/14/2020,262.42,262.0,262.42,261.63,2.20K,+0.27%
