Date,Price,Open,High,Low,Vol.,Change %
05/26/2020,160.89,162.58,162.58,160.69,13.97M,-1.42%
05/22/2020,163.21,162.88,163.47,162.74,8.54M,+0.59%
05/21/2020,162.25,163.46,163.58,161.37,11.79M,-1.46%
05/20/2020,164.65,164.54,164.96,163.89,10.67M,+0.24%
05/19/2020,164.26,163.6,164.43,163.04,8.53M,+0.97%
05/18/2020,162.69,164.33,164.5,162.41,14.14M,-0.76%
05/15/2020,163.93,164.02,164.8,163.08,13.92M,+0.56%
05/14/2020,163.01,161.53,163.34,161.51,17.08M,+0.89%
05/13/2020,161.58,160.94,161.62,160.54,10.95M,+0.96%
05/12/2020,160.04,160.3,160.95,159.72,10.41M,+0.39%
05/11/2020,159.42,160.34,160.71,158.89,11.21M,-0.62%
05/10/2020,160.42,160.42,160.42,160.42,,0.00%
05/09/2020,160.42,160.42,160.42,160.42,,0.00%
05/08/2020,160.42,161.08,162.0,160.0,12.24M,-0.60%
05/07/2020,161.39,159.5,161.96,159.36,13.70M,+1.54%
05/06/2020,158.95,158.99,159.81,158.1,13.35M,-1.29%
05/05/2020,161.02,160.16,161.1,159.33,10.56M,+0.42%
05/04/2020,160.34,160.33,160.95,159.91,7.99M,+0.35%
05/03/2020,159.78,159.78,159.78,159.78,,0.00%
05/02/2020,159.78,159.78,159.78,159.78,,0.00%
05/01/2020,159.78,158.0,160.45,157.8,10.91M,+0.62%
04/30/2020,158.8,160.22,160.82,158.13,13.63M,-1.81%
04/29/2020,161.73,160.1,161.85,159.76,12.23M,+0.55%
04/28/2020,160.84,160.89,160.98,159.16,10.38M,-0.45%
04/27/2020,161.56,161.88,162.0,160.41,9.03M,-0.66%
04/24/2020,162.64,163.13,163.31,160.89,11.20M,-0.43%
04/23/2020,163.34,162.39,163.6,161.84,14.93M,+1.00%
04/22/2020,161.73,160.5,161.74,160.42,12.94M,+1.97%
04/21/2020,158.61,157.6,159.21,157.04,12.48M,-0.68%
04/20/2020,159.7,158.62,160.22,158.46,10.69M,+0.71%
04/17/2020,158.57,159.72,160.07,158.12,14.65M,-1.94%
04/16/2020,161.71,161.88,163.15,160.65,9.23M,-0.09%
04/15/2020,161.85,161.8,162.54,160.81,12.14M,-0.51%
04/14/2020,162.68,162.73,164.42,161.78,17.10M,+0.79%
04/13/2020,161.41,159.17,162.38,158.62,20.55M,+1.71%
04/09/2020,158.69,158.08,159.08,157.21,18.12M,+2.61%
04/08/2020,154.65,155.91,155.94,154.59,7.60M,-0.89%
04/07/2020,156.04,155.33,156.14,154.38,9.20M,-0.54%
04/06/2020,156.88,154.16,157.22,153.96,14.74M,+2.77%
04/03/2020,152.65,152.23,153.09,151.66,8.47M,+0.49%
